parent_model,dataset,numshot,student_model,mean_auc,mean_complexity
tabllm,compas,128,logistic_regression,0.7101,22.0
tabllm,compas,128,decision_tree,0.667,556.2
tabllm,electricity,64,ttnet,0.7666,418.0
tabllm,electricity,64,xgboost,0.7777,4984.4
tabllm,electricity,64,logistic_rule_regression,0.7914,71.0
tabllm,electricity,64,logistic_regression,0.8107,26.0
tabllm,electricity,64,decision_tree,0.7565,212.6
tabllm,electricity,16,ttnet,0.6638,406.6
tabllm,electricity,16,xgboost,0.6587,3004.2
tabllm,electricity,16,logistic_rule_regression,0.6712,69.0
tabllm,electricity,16,logistic_regression,0.7782,26.0
tabllm,electricity,16,decision_tree,0.6337,213.4
tabllm,electricity,4,ttnet,0.5946,464.8
tabllm,electricity,4,xgboost,0.6387,1333.6
tabllm,electricity,4,logistic_rule_regression,0.6798,52.0
tabllm,electricity,4,logistic_regression,0.6501,26.0
tabllm,electricity,4,decision_tree,0.5914,251.0
tabllm,electricity,8,ttnet,0.5851,405.8
tabllm,electricity,8,xgboost,0.5702,1553.4
tabllm,electricity,8,logistic_rule_regression,0.5841,69.0
tabllm,electricity,8,logistic_regression,0.637,26.0
tabllm,electricity,8,decision_tree,0.5586,314.2
tabllm,electricity,32,ttnet,0.6088,419.2
tabllm,electricity,32,xgboost,0.609,1119.2
tabllm,electricity,32,logistic_rule_regression,0.6243,44.0
tabllm,electricity,32,logistic_regression,0.6226,26.0
tabllm,electricity,32,decision_tree,0.5934,158.2
tabllm,electricity,256,ttnet,0.7682,438.8
tabllm,electricity,256,xgboost,0.8056,3181.0
tabllm,electricity,256,logistic_rule_regression,0.8099,80.0
tabllm,electricity,256,logistic_regression,0.8065,26.0
tabllm,electricity,256,decision_tree,0.7726,266.6
tabllm,electricity,128,ttnet,0.7296,458.4
tabllm,electricity,128,xgboost,0.7497,4836.6
tabllm,electricity,128,logistic_rule_regression,0.7489,31.0
tabllm,electricity,128,logistic_regression,0.7681,26.0
tabllm,electricity,128,decision_tree,0.7459,72.6
tabllm,income,64,ttnet,0.8449,763.0
tabllm,income,64,xgboost,0.8522,3759.0
tabllm,income,64,logistic_rule_regression,0.8449,152.0
tabllm,income,64,logistic_regression,0.8494,200.0
tabllm,income,64,decision_tree,0.7682,371.0
tabllm,income,16,ttnet,0.8414,817.6
tabllm,income,16,xgboost,0.8527,3112.6
tabllm,income,16,logistic_rule_regression,0.8436,112.0
tabllm,income,16,logistic_regression,0.8502,200.0
tabllm,income,16,decision_tree,0.7977,231.8
tabllm,income,4,ttnet,0.8075,784.8
tabllm,income,4,xgboost,0.8212,2877.0
tabllm,income,4,logistic_rule_regression,0.8132,43.0
tabllm,income,4,logistic_regression,0.829,200.0
tabllm,income,4,decision_tree,0.7642,345.0
tabllm,income,8,ttnet,0.7998,805.6
tabllm,income,8,xgboost,0.8278,2771.6
tabllm,income,8,logistic_rule_regression,0.8226,41.0
tabllm,income,8,logistic_regression,0.8243,200.0
tabllm,income,8,decision_tree,0.7512,284.6
tabllm,income,32,ttnet,0.811,777.8
tabllm,income,32,xgboost,0.8323,1982.2
tabllm,income,32,logistic_rule_regression,0.839,112.6
tabllm,income,32,logistic_regression,0.832,200.0
tabllm,income,32,decision_tree,0.7508,423.0
tabllm,income,256,ttnet,0.8476,749.0
tabllm,income,256,xgboost,0.859,1903.8
tabllm,income,256,logistic_rule_regression,0.8564,104.8
tabllm,income,256,logistic_regression,0.856,200.0
tabllm,income,256,decision_tree,0.8033,389.4
tabllm,income,128,ttnet,0.8121,674.4
tabllm,income,128,xgboost,0.8557,3978.8
tabllm,income,128,logistic_rule_regression,0.8562,88.0
tabllm,income,128,logistic_regression,0.8645,200.0
tabllm,income,128,decision_tree,0.8012,303.8
tabllm,diabetes,64,ttnet,0.7551,242.6
tabllm,diabetes,64,xgboost,0.8069,4547.8
tabllm,diabetes,64,logistic_rule_regression,0.8118,59.2
tabllm,diabetes,64,logistic_regression,0.8169,16.0
tabllm,diabetes,64,decision_tree,0.7726,293.0
tabllm,diabetes,16,ttnet,0.7135,15.6
tabllm,diabetes,16,xgboost,0.7506,880.0
tabllm,diabetes,16,logistic_rule_regression,0.6675,6.4
tabllm,diabetes,16,logistic_regression,0.7876,16.0
tabllm,diabetes,16,decision_tree,0.6459,79.8
tabllm,diabetes,4,ttnet,0.4947,237.8
tabllm,diabetes,4,xgboost,0.4435,1357.0
tabllm,diabetes,4,logistic_rule_regression,0.5,0.0
tabllm,diabetes,4,logistic_regression,0.5607,16.0
tabllm,diabetes,4,decision_tree,0.4982,20.6
tabllm,diabetes,8,ttnet,0.7258,17.0
tabllm,diabetes,8,xgboost,0.7122,1105.6
tabllm,diabetes,8,logistic_rule_regression,0.7233,22.4
tabllm,diabetes,8,logistic_regression,0.7743,16.0
tabllm,diabetes,8,decision_tree,0.6599,180.2
tabllm,diabetes,32,ttnet,0.7619,221.2
